"소재지(시군구)별(1)","시점",계,계,공연장,공연장,박물관,박물관,미술관,미술관,과학관,과학관,문화산업단지,문화산업단지,문화산업진흥시설,문화산업진흥시설,지방문화원,지방문화원,문화예술진흥시설,문화예술진흥시설,전시시설,전시시설,국제회의시설,국제회의시설,공공도서관,공공도서관,전문도서관,전문도서관
"소재지(시군구)별(1)","시점",시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡)
"대전광역시","2023",17,92667,-,-,-,-,1,5136,-,-,2,21879,-,-,1,830,8,51818,-,-,-,-,5,13004,-,-
"울산광역시","2005",5,97596,1,34799,0,0,0,0,0,0,0,0,0,0,1,10464,3,52333,-,-,-,-,-,-,-,-
"울산광역시","2006",5,97596,1,34799,0,0,0,0,0,0,0,0,0,0,1,10464,3,52333,-,-,-,-,-,-,-,-
"울산광역시","2007",6,100996,1,34799,0,0,0,0,0,0,0,0,0,0,1,10464,4,55733,-,-,-,-,-,-,-,-
"울산광역시","2008",10,120396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,120396,-,-,-,-,-,-,-,-
"울산광역시","2009",16,154721,0,0,3,23079,0,0,0,0,0,0,0,0,0,0,13,131642,-,-,-,-,-,-,-,-
"울산광역시","2010",12,90701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,90701,-,-,-,-,-,-,-,-
"울산광역시","2011",17,159423,0,0,2,17049,0,0,0,0,0,0,0,0,0,0,15,142374,-,-,-,-,-,-,-,-
"울산광역시","2012",19,175323,0,0,3,23079,0,0,0,0,0,0,0,0,0,0,16,152244,-,-,-,-,-,-,-,-
"울산광역시","2013",19,175323,0,0,3,23079,0,0,0,0,0,0,0,0,0,0,16,152244,-,-,-,-,-,-,-,-
"울산광역시","2014",20,178220,0,0,3,23079,0,0,0,0,0,0,0,0,0,0,17,155141,-,-,-,-,-,-,-,-
"울산광역시","2015",21,181457,0,0,0,0,0,0,3,23079,0,0,0,0,0,0,18,158378,-,-,-,-,-,-,-,-
"울산광역시","2016",19,158323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,122388,0,0,0,0,2,35935,0,0
"울산광역시","2017",18,155470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,119535,0,0,0,0,2,35935,0,0
"울산광역시","2018",22,166763,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,130823,-,-,-,-,2,35940,-,-
"울산광역시","2019",24,176943,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,141003,-,-,-,-,2,35940,-,-
"울산광역시","2020",24,176943,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,141003,-,-,-,-,2,35940,-,-
"울산광역시","2021",24,176943,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,141003,-,-,-,-,2,35940,-,-
"울산광역시","2022",24,176943,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,141003,-,-,-,-,2,35940,-,-
"울산광역시","2023",23,172869,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,136929,-,-,-,-,2,35940,-,-
"세종특별자치시","2012",12,733560,0,0,1,461801,0,0,0,0,0,0,0,0,0,0,11,271759,-,-,-,-,-,-,-,-
"세종특별자치시","2013",12,733560,0,0,1,461801,0,0,0,0,0,0,0,0,0,0,11,271759,-,-,-,-,-,-,-,-
"세종특별자치시","2014",13,786310,0,0,1,461801,0,0,0,0,0,0,0,0,0,0,12,324509,-,-,-,-,-,-,-,-
"세종특별자치시","2015",13,785228,0,0,0,0,0,0,1,461801,0,0,0,0,0,0,12,323427,-,-,-,-,-,-,-,-
"세종특별자치시","2016",15,817652,0,0,0,0,0,0,1,461801,0,0,0,0,0,0,12,323427,0,0,0,0,2,32424,0,0
"세종특별자치시","2017",15,817652,0,0,0,0,0,0,1,461801,0,0,0,0,0,0,12,323427,0,0,0,0,2,32424,0,0
"세종특별자치시","2018",15,824520,-,-,-,-,-,-,1,461801,-,-,-,-,-,-,13,332935,-,-,-,-,1,29784,-,-
"세종특별자치시","2019",15,824520,-,-,-,-,-,-,1,461801,-,-,-,-,-,-,13,332935,-,-,-,-,1,29784,-,-
"세종특별자치시","2020",28,1057725,-,-,-,-,1,35780,4,689795,-,-,-,-,3,3025,16,274051,-,-,-,-,4,55074,-,-
"세종특별자치시","2021",28,1057725,-,-,-,-,1,35780,4,689795,-,-,-,-,3,3025,16,274051,-,-,-,-,4,55074,-,-
"세종특별자치시","2022",28,1057725,-,-,-,-,1,35780,4,689795,-,-,-,-,3,3025,16,274051,-,-,-,-,4,55074,-,-
"세종특별자치시","2023",28,1057725,-,-,-,-,1,35780,4,689795,-,-,-,-,3,3025,16,274051,-,-,-,-,4,55074,-,-
"경기도","2005",39,1554626,4,87899,2,110013,1,59300,1,238909,1,63820,4,35604,1,3029,25,956052,-,-,-,-,-,-,-,-
"경기도","2006",61,1738369,4,87899,3,113686,1,59300,1,238909,1,63820,4,35604,1,3029,46,1136122,-,-,-,-,-,-,-,-
"경기도","2007",69,1882917,5,99749,4,119481,1,59300,1,238909,1,63820,3,33125,1,3029,53,1265504,-,-,-,-,-,-,-,-
"경기도","2008",89,2930360,5,94249,5,165938,2,60819,1,232534,1,63820,0,0,1,1500,74,2311500,-,-,-,-,-,-,-,-
"경기도","2009",100,3223112,6,105911,5,165938,2,60821,2,234421,1,63820,0,0,1,4500,83,2587701,-,-,-,-,-,-,-,-
"경기도","2010",107,3570552,6,105911,5,156299,2,60821,1,232534,1,63820,0,0,1,4500,91,2946667,-,-,-,-,-,-,-,-
"경기도","2011",116,3139980,6,101763,5,156299,2,60821,1,243970,1,63820,0,0,0,0,101,2513307,-,-,-,-,-,-,-,-
"경기도","2012",112,3017841,5,69784,5,158169,2,60821,1,243970,0,0,0,0,0,0,99,2485097,-,-,-,-,-,-,-,-
"경기도","2013",113,3510459,4,50185,5,158169,2,60821,2,542727,0,0,0,0,0,0,100,2698557,-,-,-,-,-,-,-,-
"경기도","2014",119,3598501,5,70594,5,158171,2,60821,2,531291,0,0,0,0,0,0,105,2777624,-,-,-,-,-,-,-,-
"경기도","2015",127,3775093,2,531291,0,0,5,69891,5,158169,2,60821,0,0,0,0,113,2954921,-,-,-,-,-,-,-,-
