"통계분류(1)","통계분류(2)",시점,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"연령","70세 이상",2020,302,167,122,229,114,81,138,44,1435,397,355,608,504,952,576,700,277
"연령","70세 이상",2021,294,264,200,210,76,80,175,143,1796,558,460,670,547,794,837,549,228
"연령","70세 이상",2022,305,296,180,556,216,198,120,84,2436,1589,491,1528,1034,1329,1243,1308,576
"연령","70세 이상",2023,732,641,331,770,136,236,393,61,3622,2593,840,1935,1452,2435,1761,1854,688
"직업","임금봉급근로자",2019,6295,8093,1965,5419,1334,2355,1883,691,18676,19096,5761,10975,9562,12182,9709,11570,5932
"직업","임금봉급근로자",2020,3731,4694,1005,3854,774,1588,1497,701,19224,12567,3908,8428,6531,8492,6665,9094,4203
"직업","임금봉급근로자",2021,4469,5063,1557,4618,650,1371,2070,398,25262,13750,4341,9180,6916,9923,9546,11354,6506
"직업","임금봉급근로자",2022,5781,6462,1586,5846,658,1772,2346,629,28893,18207,5851,11384,7552,11841,11157,12957,8265
"직업","임금봉급근로자",2023,5008,6969,1781,5517,817,1967,2393,648,28164,21863,5893,11068,8967,12750,12365,15459,6725
"직업","고용원있는사업주",2019,329,345,192,325,96,123,71,33,1069,1602,386,889,428,1024,644,618,624
"직업","고용원있는사업주",2020,425,146,35,233,55,26,69,-,1299,853,313,546,252,381,414,397,448
"직업","고용원있는사업주",2021,179,192,45,333,63,136,48,-,1609,965,228,292,255,292,794,350,485
"직업","고용원있는사업주",2022,319,248,69,319,36,135,116,5,1488,1396,295,767,287,596,721,657,589
"직업","고용원있는사업주",2023,158,298,147,519,36,185,91,27,1653,1399,386,885,303,474,785,685,551
"직업","고용원없는자영자",2019,1599,2383,702,1709,747,678,587,99,5214,5553,1952,4508,3760,5113,5257,5090,2291
"직업","고용원없는자영자",2020,638,841,517,1235,302,284,250,62,4007,2848,1127,2673,1935,3423,2772,3300,1242
"직업","고용원없는자영자",2021,853,877,589,761,220,328,483,100,5031,3754,1308,2407,2204,3771,3946,3871,1388
"직업","고용원없는자영자",2022,842,1478,515,1374,266,323,415,152,4654,5381,1674,3448,2969,4365,4504,5401,1856
"직업","고용원없는자영자",2023,980,1610,600,1565,321,565,420,220,6150,6009,2284,4300,3357,6060,4845,4971,1663
"직업","무급가족 종사자",2019,122,269,97,208,52,64,23,31,247,528,167,571,288,502,575,639,123
"직업","무급가족 종사자",2020,31,78,93,65,17,42,25,8,356,62,112,281,223,448,174,339,122
"직업","무급가족 종사자",2021,123,78,97,32,20,63,5,10,194,141,118,277,305,420,386,331,77
"직업","무급가족 종사자",2022,88,184,49,88,29,64,198,16,262,309,141,307,394,513,488,321,125
"직업","무급가족 종사자",2023,96,175,134,118,27,110,69,-,262,481,291,416,348,624,658,505,163
"직업","사무전문",2018,1975,4734,588,2227,382,709,571,127,7773,12541,1849,4827,3391,5381,4183,4769,4288
"직업","기술생산노무",2018,510,1085,113,784,293,327,248,94,1990,2748,877,2066,1345,2490,2147,3402,1047
"직업","판매서비스",2018,775,2917,630,1502,177,598,432,157,3689,6050,1272,3134,2753,3484,3838,3262,1836
"직업","자영업",2018,690,2059,638,1205,464,891,312,41,3450,6934,1807,3579,2421,4523,4103,4955,2253
"직업","전업주부",2018,590,2149,356,1550,435,597,486,59,4159,6132,1513,3390,2657,3958,3713,5037,2059
"직업","전업주부",2019,1581,1706,645,1380,320,308,522,102,5999,5150,1177,2587,2236,2839,4598,3310,1544
"직업","전업주부",2020,473,657,298,923,94,275,308,90,4907,2162,634,1576,1020,1334,1862,1743,1502
"직업","전업주부",2021,513,750,345,907,122,226,355,142,4909,2933,922,2025,1192,1630,2343,2329,1384
"직업","전업주부",2022,662,858,410,1001,99,215,266,129,6116,3721,781,2031,1332,1992,2969,2062,1531
"직업","전업주부",2023,845,1166,484,1069,196,421,547,71,5930,4562,1011,2640,1839,2235,3189,2953,2049
"직업","학생",2018,2269,2508,581,539,132,356,412,49,3713,3335,341,1198,1473,2011,1892,1498,1318
"직업","학생",2019,2320,1995,613,1166,279,438,395,73,3362,2988,703,1442,1687,1914,2040,1693,828
"직업","학생",2020,1481,959,295,544,165,171,271,130,2992,1554,579,1063,952,1205,1012,1182,455
"직업","학생",2021,1081,1209,188,413,82,139,235,176,2845,1187,343,849,769,1335,1551,1150,623
"직업","학생",2022,1615,1560,204,545,163,248,345,106,3096,1716,386,1202,1044,1465,1808,1252,985
"직업","학생",2023,2067,1380,191,703,98,254,227,177,2922,2430,438,1157,1043,1324,1618,1190,808
"직업","무직은퇴",2018,428,938,124,295,58,115,126,17,1358,1950,527,962,762,779,1590,1929,668
"직업","기타",2018,149,184,149,28,28,34,14,-,127,491,69,286,299,511,379,571,118
