,포지션,회사명,지역명,경력,링크
261,[강남/선릉] DX 하드웨어 개발,에스디티,서울 강남구 , 경력 2년 이상,/wd/266790
262,프론트엔드 개발자,로그프레소,서울 마포구 , 경력 5-20년,/wd/160283
263,SW 개발 PM,파더스랩,서울 강남구 , 경력 5-15년,/wd/266248
264,안드로이드 개발자,생활연구소(청소연구소),경기 성남시 , 신입,/wd/266814
265,백엔드 개발자,코어16,서울 영등포구 , 신입-경력 3년,/wd/267114
266,[Gopax] Wallet Engineer,스트리미(Streami),서울 강남구 , 경력 3-7년,/wd/262179
267,[Gopax] DevOps Engineer,스트리미(Streami),서울 강남구 , 경력 3-7년,/wd/262180
268,어플리케이션 아키텍트,플래티어,서울 송파구 , 경력 1-10년,/wd/264962
269,형상관리(Perforce) 솔루션 엔지니어,플래티어,서울 송파구 , 경력 5-20년,/wd/262407
270,GitLab 솔루션 엔지니어,플래티어,서울 송파구 , 경력 3-20년,/wd/262408
271,UI/UX 테스트 자동화 솔루션 엔지니어,플래티어,서울 송파구 , 경력 3-20년,/wd/262409
272,ITSM 구축 PM&PL 엔지니어,플래티어,서울 송파구 , 경력 5-20년,/wd/262406
273,[그루비 SaaS 솔루션] AI 엔지니어 (NLP),플래티어,서울 송파구 , 경력 3-7년,/wd/261357
274,아틀라시안 & 데브옵스 솔루션 엔지니어,플래티어,서울 송파구 , 경력 2-13년,/wd/126370
275,이커머스 플랫폼 개발자,플래티어,서울 송파구 , 경력 2-10년,/wd/76099
276,백엔드 개발자 (5년 이상),티엠알파운더스,서울 서초구 , 경력 5-7년,/wd/266042
277,여행 플랫폼 WOKA Frontend 개발자,원더라운드,서울 중구 , 경력 3년 이상,/wd/266747
278,글로벌 해운선사IT솔루션 ITO업무(개발),싸이버로지텍,서울 마포구 , 경력 3-15년,/wd/267101
